category,stt,productId,productCode,productName,gender,color,price,size,m,l,xl,feature,part,url,,,,
Áo thun,1,10660897,P818TSM20,Áo Hybrid chống nắng UV,men,Xám,1944,Dài thân,66.9,69,71.1,Áo thun Hybrid nam,Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/911d52a6e774ffffaece3aab5aebdd70.jpg,,,,
Áo thun,1,10660897,P818TSM20,Áo Hybrid chống nắng UV,men,Xám,1944,Vòng ngực,101,105,109,Thích hợp khi đi ngoài trời hoặc khi chạy xe,Matsau,https://base-ec2if.akamaized.net/images/item/origin/4f1347ff37d8b4eeb290d2a5b9988244.jpg,,,,
Áo thun,1,10660897,P818TSM20,Áo Hybrid chống nắng UV,men,Xám,1944,Vòng cổ tay,30.5,31.5,32.5,Sử dụng chất liệu sợi SUPER EVAPOS độc quyển của Peaks Eight,Matngang1,,,,,
Áo thun,1,10660897,P818TSM20,Áo Hybrid chống nắng UV,men,Xám,1944,Dài tay,23,24,25,"Phần ngực sử dụng chất liệu vải dễ thấm hút thoáng khí, thiết kế thời trang thể hiện sự nam tính cho người mặc",Matngang2,,,,,
Áo thun,1,10660897,P818TSM20,Áo Hybrid chống nắng UV,men,Xám,1944,Rộng vai,41.4,43,44.6,Phía sau phần lưng áo có đính kèm túi đựng chai nước khi di chuyển ,,,,,,
Áo thun,1,10660897,P818TSM20,Áo Hybrid chống nắng UV,men,Xám,1944,,,,,"Chất liệu thoáng mát thoát mồ hôi nhanh, tạo cảm giác thoải mái dễ chịu cho người mặc",,,,,,
Áo thun,1,10660897,P818TSM20,Áo Hybrid chống nắng UV,men,Xám,1944,,,,,Chất liệu sợi hoạt tính Deodorant giúp khử mùi mồ hôi tốt hơn,,,,,,
Áo thun,2,10660921,P818TSM20,Áo Hybrid chống nắng UV,men,Navy,1944,Dài thân,66.9,69,71.1,Áo thun Hybrid nam,Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/acc4b156317719c5cf352e092fee6412.jpg,,,,
Áo thun,2,10660921,P818TSM20,Áo Hybrid chống nắng UV,men,Navy,1944,Vòng ngực,101,105,109,Thích hợp khi đi ngoài trời hoặc khi chạy xe,Matsau,https://base-ec2if.akamaized.net/images/item/origin/4f1347ff37d8b4eeb290d2a5b9988244.jpg,,,,
Áo thun,2,10660921,P818TSM20,Áo Hybrid chống nắng UV,men,Navy,1944,Vòng cổ tay,30.5,31.5,32.5,Sử dụng chất liệu sợi SUPER EVAPOS độc quyển của Peaks Eight,Matngang1,,,,,
Áo thun,2,10660921,P818TSM20,Áo Hybrid chống nắng UV,men,Navy,1944,Dài tay,23,24,25,"Phần ngực sử dụng chất liệu vải dễ thấm hút thoáng khí, thiết kế thời trang thể hiện sự nam tính cho người mặc",Matngang2,,,,,
Áo thun,2,10660921,P818TSM20,Áo Hybrid chống nắng UV,men,Navy,1944,Rộng vai,41.4,43,44.6,Phía sau phần lưng áo có đính kèm túi đựng chai nước khi di chuyển ,,,,,,
Áo thun,2,10660921,P818TSM20,Áo Hybrid chống nắng UV,men,Navy,1944,,,,,"Chất liệu thoáng mát thoát mồ hôi nhanh, tạo cảm giác thoải mái dễ chịu cho người mặc",,,,,,
Áo thun,2,10660921,P818TSM20,Áo Hybrid chống nắng UV,men,Navy,1944,,,,,Chất liệu sợi hoạt tính Deodorant giúp khử mùi mồ hôi tốt hơn,,,,,,
Áo khoác gió,1,10659746,P818WTM01,Áo chống gió,men,Xám,5292,Dài thân,71.9,74,76.1,Sử dụng chất liệu nhẹ tạo cảm giác thoải mái khi mặc,Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/a50fbeecd9219df0dc09b3b2585a7937.jpg,,,,
Áo khoác gió,1,10659746,P818WTM01,Áo chống gió,men,Xám,5292,Vòng ngực,108,112,116,"Mang phong cách năng động, thích hợp cho những người hay vận động nhiều hay khi đi xe đạp",Matsau,https://base-ec2if.akamaized.net/images/item/origin/ce7490326ce013216c8bade865c8572f.jpg,,,,
Áo khoác gió,1,10659746,P818WTM01,Áo chống gió,men,Xám,5292,Vòng cổ tay,19.5,20,20.5,Phía trước và phía sau thân áo có tính năng hút thoáng khí tạo cảm giác thoáng mát khi mặc,Matngang1,https://base-ec2if.akamaized.net/images/item/origin/1b378514413e3d2e87083bce09357118.jpg,,,,
Áo khoác gió,1,10659746,P818WTM01,Áo chống gió,men,Xám,5292,Dài tay,84.2,87,89.8,"Có đính kèm logo phát quang, dễ dàng nhận biết khi đi vào chỗ tối",Matngang2,,,,,
Áo khoác gió,1,10659746,P818WTM01,Áo chống gió,men,Xám,5292,Rộng vai,41.4,43,44.6,"Thiết kế kiểu dáng thể thao tạo cảm giác thon gọn cho người mặc, dễ dàng vận động",,,,,,
