STT,MAQUANCHAR,TEN_QUANHUYEN,MA_TINH,CODE_TINH,TEN_DAY_DU,TINH_THANH,
1,AGCD,THỊ XÃ CHÂU ĐỐC,AN GIANG_AGG,AGG,THỊ XÃ CHÂU ĐỐC-AGCD,AN_GIANG_AGG,
2,AGPT,HUYỆN PHÚ TÂN,AN GIANG_AGG,AGG,HUYỆN PHÚ TÂN-AGPT,BA_RIA_VUNG_TAU_VTU,
3,AGLX,THÀNH PHỐ LONG XUYÊN,AN GIANG_AGG,AGG,THÀNH PHỐ LONG XUYÊN-AGLX,BAC_GIANG_BGG,
4,AGAP,HUYỆN AN PHÚ,AN GIANG_AGG,AGG,HUYỆN AN PHÚ-AGAP,BAC_KAN_BKN,
5,AGCM,HUYỆN CHỢ MỚI,AN GIANG_AGG,AGG,HUYỆN CHỢ MỚI-AGCM,BAC_LIEU_BLU,
6,AGCP,HUYỆN CHÂU PHÚ,AN GIANG_AGG,AGG,HUYỆN CHÂU PHÚ-AGCP,BAC_NINH_BNH,
7,AGTC,THỊ XÃ TÂN CHÂU,AN GIANG_AGG,AGG,THỊ XÃ TÂN CHÂU-AGTC,BEN_TRE_BTE,
8,AGTB,HUYỆN TỊNH BIÊN,AN GIANG_AGG,AGG,HUYỆN TỊNH BIÊN-AGTB,BINH_DINH_BDH,
9,AGTT,HUYỆN TRI TÔN,AN GIANG_AGG,AGG,HUYỆN TRI TÔN-AGTT,BINH_DUONG_BDG,
10,AGCT,HUYỆN CHÂU THÀNH,AN GIANG_AGG,AGG,HUYỆN CHÂU THÀNH-AGCT,BINH_PHUOC_BPC,
11,AGTS,HUYỆN THOẠI SƠN,AN GIANG_AGG,AGG,HUYỆN THOẠI SƠN-AGTS,BINH_THUAN_BTN,
694,VTBR,THỊ XÃ BÀ RỊA,BA RIA VUNG TAU_VTU,VTU,THỊ XÃ BÀ RỊA-VTBR,CA_MAU_CMU,
695,VTTT,HUYỆN TÂN THÀNH,BA RIA VUNG TAU_VTU,VTU,HUYỆN TÂN THÀNH-VTTT,CAN_THO_CTO,
696,VTXM,HUYỆN XUYÊN MỘC,BA RIA VUNG TAU_VTU,VTU,HUYỆN XUYÊN MỘC-VTXM,CAO_BANG_CBG,
697,VTCC,HUYỆN CHÂU ĐỨC,BA RIA VUNG TAU_VTU,VTU,HUYỆN CHÂU ĐỨC-VTCC,DA_NANG_DNG,
698,VTVT,THÀNH PHỐ VŨNG TÀU,BA RIA VUNG TAU_VTU,VTU,THÀNH PHỐ VŨNG TÀU-VTVT,DAK_LAK_DLK,
699,VTDD,HUYỆN ĐẤT ĐỎ,BA RIA VUNG TAU_VTU,VTU,HUYỆN ĐẤT ĐỎ-VTDD,DAK_NONG_DKG,
700,VTLT,HUYỆN LONG THÀNH,BA RIA VUNG TAU_VTU,VTU,HUYỆN LONG THÀNH-VTLT,DIEN_BIEN_DBN,
701,VTCD,HUYỆN CÔN ĐẢO,BA RIA VUNG TAU_VTU,VTU,HUYỆN CÔN ĐẢO-VTCD,DONG_NAI_DNI,
702,VTLD,HUYỆN LONG ĐIỀN,BA RIA VUNG TAU_VTU,VTU,HUYỆN LONG ĐIỀN-VTLD,DONG_THAP_DTP,
32,BGBG,THÀNH PHỐ BẮC GIANG,BAC GIANG_BGG,BGG,THÀNH PHỐ BẮC GIANG-BGBG,GIA_LAI_GLI,
33,BGHH,HUYỆN HIỆP HÒA,BAC GIANG_BGG,BGG,HUYỆN HIỆP HÒA-BGHH,HA_GIANG_HGG,
34,BGVY,HUYỆN VIỆT YÊN,BAC GIANG_BGG,BGG,HUYỆN VIỆT YÊN-BGVY,HA_NAM_HNM,
35,BGYT,HUYỆN YÊN THẾ,BAC GIANG_BGG,BGG,HUYỆN YÊN THẾ-BGYT,HA_NOI_HNI,
36,BGLN,HUYỆN LỤC NGẠN,BAC GIANG_BGG,BGG,HUYỆN LỤC NGẠN-BGLN,HA_TINH_HTH,
37,BGLG,HUYỆN LẠNG GIANG,BAC GIANG_BGG,BGG,HUYỆN LẠNG GIANG-BGLG,HAI_DUONG_HDG,
38,BGTY,HUYỆN TÂN YÊN,BAC GIANG_BGG,BGG,HUYỆN TÂN YÊN-BGTY,HAI_PHONG_HPG,
39,BGLM,HUYỆN LỤC NAM,BAC GIANG_BGG,BGG,HUYỆN LỤC NAM-BGLM,HAU_GIANG_HUG,
40,BGSD,HUYỆN SƠN ĐỘNG,BAC GIANG_BGG,BGG,HUYỆN SƠN ĐỘNG-BGSD,HO_CHI_MINH_HCM,
41,BGYD,HUYỆN YÊN DŨNG,BAC GIANG_BGG,BGG,HUYỆN YÊN DŨNG-BGYD,HOA_BINH_HBH,
42,BKCM,HUYỆN CHỢ MỚI,BAC KAN_BKN,BKN,HUYỆN CHỢ MỚI-BKCM,HUNG_YEN_HYN,
43,BKCD,HUYỆN CHỢ ĐỒN,BAC KAN_BKN,BKN,HUYỆN CHỢ ĐỒN-BKCD,KHANH_HOA_KHA,
44,BKNS,HUYỆN NGÂN SƠN,BAC KAN_BKN,BKN,HUYỆN NGÂN SƠN-BKNS,KIEN_GIANG_KGG,
45,BKBK,THỊ XÃ BẮC KẠN,BAC KAN_BKN,BKN,THỊ XÃ BẮC KẠN-BKBK,KON_TUM_KTM,
46,BKNR,HUYỆN NA RÌ,BAC KAN_BKN,BKN,HUYỆN NA RÌ-BKNR,LAI_CHAU_LCU,
47,BKBT,HUYỆN BẠCH THÔNG,BAC KAN_BKN,BKN,HUYỆN BẠCH THÔNG-BKBT,LAM_DONG_LDG,
48,BKBB,HUYỆN BA BỂ,BAC KAN_BKN,BKN,HUYỆN BA BỂ-BKBB,LANG_SON_LSN,
49,BKPN,HUYỆN PẮC NẶM,BAC KAN_BKN,BKN,HUYỆN PẮC NẶM-BKPN,LAO_CAI_LCI,
50,BLHB,HUYỆN HÒA BÌNH,BAC LIEU_BLU,BLU,HUYỆN HÒA BÌNH-BLHB,LONG_AN_LAN,
