category,stt,productId,productCode,productName,gender,color,price,size,s,m,l,feature,part,url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,1,10661118,P818LSL01,Áo UV có nón,women,Xanh nhạt,2808,Dài thân,60.9,63,65.1,Có tính năng chống tia UV UPF50+ mang lại cảm giác thoáng mát,Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/6f2ddb67572855eaac5ab4cc4fbac4e6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,1,10661118,P818LSL01,Áo UV có nón,women,Xanh nhạt,2808,Vòng ngực,89,92,95,Thích hợp khi đi ngoài trời hoặc khi đi biển,Matsau,https://base-ec2if.akamaized.net/images/item/origin/3adb9848d99d1c4927a45e9701042dcc.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,1,10661118,P818LSL01,Áo UV có nón,women,Xanh nhạt,2808,Vòng cổ tay,20,20.5,21,Sử dụng chất liệu sợi SUPER EVAPOS độc quyển của Peaks Eight,Matngang1,https://base-ec2if.akamaized.net/images/item/origin/c7a6d336a1d5103ff5339120b57cd24e.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,1,10661118,P818LSL01,Áo UV có nón,women,Xanh nhạt,2808,Dài tay,60.9,62.1,64.1,"Có thể kết hợp với đồ bơi như áo khoác chống nắng, mang lại cảm giác thoáng mát, ngay cả khi xuống tắm biển",Matngang2,https://base-ec2if.akamaized.net/images/item/origin/7a203127c0f94ab062f082284ea02b45.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,1,10661118,P818LSL01,Áo UV có nón,women,Xanh nhạt,2808,Rộng vai,36.6,37.8,39,Kết cấu chất liệu vải mềm nhẹ nhàng mang lại cảm giác thoải mái khi mặc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,1,10661118,P818LSL01,Áo UV có nón,women,Xanh nhạt,2808,Dài nón,37,37.5,38,"Thiết kế đơn giản có thể mặc khi đi ra ngoài, đi làm hoặc đi biển",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,1,10661118,P818LSL01,Áo UV có nón,women,Xanh nhạt,2808,,,,,Chất liệu sợi hoạt tính Deodorant giúp khử mùi mồ hôi tốt hơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,2,10661195,P818LSL01,Áo UV có nón,women,Hồng,2808,Dài thân,60.9,63,65.1,Có tính năng chống tia UV UPF50+ mang lại cảm giác thoáng mát,Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/da4d69941e66e57420446918f8f42fae.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,2,10661195,P818LSL01,Áo UV có nón,women,Hồng,2808,Vòng ngực,89,92,95,Thích hợp khi đi ngoài trời hoặc khi đi biển,Matsau,https://base-ec2if.akamaized.net/images/item/origin/f74958181366edbaf47dc3dd3a3b7631.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,2,10661195,P818LSL01,Áo UV có nón,women,Hồng,2808,Vòng cổ tay,20,20.5,21,Sử dụng chất liệu sợi SUPER EVAPOS độc quyển của Peaks Eight,Matngang1,https://base-ec2if.akamaized.net/images/item/origin/9ae7ba8032dcc24541a8ce0df424d7ab.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,2,10661195,P818LSL01,Áo UV có nón,women,Hồng,2808,Dài tay,60.9,62.1,64.1,"Có thể kết hợp với đồ bơi như áo khoác chống nắng, mang lại cảm giác thoáng mát, ngay cả khi xuống tắm biển",Matngang2,https://base-ec2if.akamaized.net/images/item/origin/1fe9ab8bf20c12883b32d3d269d18003.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,2,10661195,P818LSL01,Áo UV có nón,women,Hồng,2808,Rộng vai,36.6,37.8,39,Kết cấu chất liệu vải mềm nhẹ nhàng mang lại cảm giác thoải mái khi mặc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,2,10661195,P818LSL01,Áo UV có nón,women,Hồng,2808,Dài nón,37,37.5,38,"Thiết kế đơn giản có thể mặc khi đi ra ngoài, đi làm hoặc đi biển",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,2,10661195,P818LSL01,Áo UV có nón,women,Hồng,2808,,,,,Chất liệu sợi hoạt tính Deodorant giúp khử mùi mồ hôi tốt hơn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,3,10661725,P818LSL01,Áo UV có nón,women,Navy,2808,Dài thân,60.9,63,65.1,Có tính năng chống tia UV UPF50+ mang lại cảm giác thoáng mát,Mattruoc,https://base-ec2if.akamaized.net/images/item/origin/d4df56a52c83534c76a9fde2a8e2fea0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,3,10661725,P818LSL01,Áo UV có nón,women,Navy,2808,Vòng ngực,89,92,95,Thích hợp khi đi ngoài trời hoặc khi đi biển,Matsau,https://base-ec2if.akamaized.net/images/item/origin/b271c809867534ff0d1b903040f8456f.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áo khoác chống nắng ,3,10661725,P818LSL01,Áo UV có nón,women,Navy,2808,Vòng cổ tay,20,20.5,21,Sử dụng chất liệu sợi SUPER EVAPOS độc quyển của Peaks Eight,Matngang1,https://base-ec2if.akamaized.net/images/item/origin/59a6f0525b970a0c980fb1c86ad520a6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
